item_id,name,slug,category,item_type,rarity,tier,description,flavor_text,effect_key,effect_type,effect_value,effect_duration_seconds,cooldown_seconds,stackable,max_stack,tradable,soulbound,consumable,equippable,price_wb,unlock_type,unlock_value,shop_id,lifecycle_state,asset_filename,asset_path,visual_subject,visual_keywords,art_prompt,art_status,implementation_status,notes
trail_mix,Questionable Trail Mix,questionable-trail-mix,consumable,consumable,common,1,A pocket snack that converts instantly into WalkerBucks.,Suspiciously crunchy but dependable.,instant_wb,instant_wb,35,,,true,99,false,false,true,false,40,none,,main_shop,active,trail_mix.png,/assets/items/trail_mix.png,crinkled snack pouch,trail snack|orange pouch|crumbs,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Questionable Trail Mix\, a common consumable item. Depict crinkled snack pouch. Include these visual cues: trail snack|orange pouch|crumbs. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory item from src/game/inventory.ts
walkertown_postcard,Walkertown Postcard,walkertown-postcard,souvenir,collectible,common,1,A collectible proof that the first route still matters.,Mailed from mile marker one.,none,none,,,,true,999,false,false,false,false,25,none,,main_shop,active,walkertown_postcard.png,/assets/items/walkertown_postcard.png,vintage postcard,walkertown skyline|stamp|paper texture,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Walkertown Postcard\, a common souvenir item. Depict vintage postcard. Include these visual cues: walkertown skyline|stamp|paper texture. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory item from src/game/inventory.ts
spring_stride_ticket,Spring Stride Ticket,spring-stride-ticket,souvenir,collectible,common,1,A local only seasonal keepsake from the Spring Stride route.,Still smells like rain and pavement.,none,none,,,,true,999,false,false,false,false,30,event,spring_stride,seasonal_shop,active,spring_stride_ticket.png,/assets/items/spring_stride_ticket.png,event ticket,pastel ticket|spring motif|perforated edge,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Spring Stride Ticket\, a common souvenir item. Depict event ticket. Include these visual cues: pastel ticket|spring motif|perforated edge. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory item from src/game/inventory.ts
starter_step_counter,Starter Step Counter,starter-step-counter,equipment,equipment,uncommon,2,Entry level equipment that squeezes more WB out of each mile.,Cheap plastic and elite optimism.,wb_multiplier,wb_multiplier,0.03,,,false,1,false,false,false,true,180,distance_miles,25,main_shop,active,starter_step_counter.png,/assets/items/starter_step_counter.png,clip-on step counter,digital counter|strap|utility plastic,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Starter Step Counter\, a uncommon equipment item. Depict clip-on step counter. Include these visual cues: digital counter|strap|utility plastic. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory equipment item
retro_sweatband_item,Retro Sweatband,retro-sweatband,cosmetic,cosmetic,common,1,Cosmetic headwear with a small WB bonus.,Neon confidence for slow jogs.,wb_multiplier,wb_multiplier,0.05,,,false,1,false,false,false,true,220,none,,main_shop,active,retro_sweatband_item.png,/assets/items/retro_sweatband_item.png,retro sweatband,headband|neon stripes|soft fabric,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Retro Sweatband\, a common cosmetic item. Depict retro sweatband. Include these visual cues: headband|neon stripes|soft fabric. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory cosmetic item maps to cosmetic id retro_sweatband
lucky_laces_item,Lucky Laces,lucky-laces,cosmetic,cosmetic,uncommon,2,Cosmetic shoes that improve manual tap distance.,Double knot for double luck.,click_power_multiplier,click_power_multiplier,0.08,,,false,1,false,false,false,true,340,distance_miles,120,main_shop,active,lucky_laces_item.png,/assets/items/lucky_laces_item.png,pair of shoelaces,green laces|spark accents|shoe eyelets,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Lucky Laces\, a uncommon cosmetic item. Depict pair of shoelaces. Include these visual cues: green laces|spark accents|shoe eyelets. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory cosmetic item maps to cosmetic id lucky_laces
golden_wayfarers_item,Golden Wayfarers,golden-wayfarers,cosmetic,cosmetic,rare,3,Cosmetic eyewear that improves random event rewards.,Too shiny to lose.,event_reward_multiplier,event_reward_multiplier,0.1,,,false,1,false,false,false,true,650,earth_loops_completed,1,main_shop,active,golden_wayfarers_item.png,/assets/items/golden_wayfarers_item.png,gold sunglasses,aviator shape|gold frames|lens shine,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Golden Wayfarers\, a rare cosmetic item. Depict gold sunglasses. Include these visual cues: aviator shape|gold frames|lens shine. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory cosmetic item maps to cosmetic id golden_wayfarers
touch_grass_token,Touch Grass Token,touch-grass-token,consumable,consumable,common,1,Single use token that grants a small WalkerBucks boost.,For emergency outside moments.,currency_grant,currency_grant,50,,,true,20,false,false,true,false,60,none,,main_shop,planned,touch_grass_token.png,/assets/items/touch_grass_token.png,engraved coin,grass icon|bronze coin|simple rim,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Touch Grass Token\, a common consumable item. Depict engraved coin. Include these visual cues: grass icon|bronze coin|simple rim. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,Starter catalog item
walker_passport,Walker Passport,walker-passport,souvenir,collectible,uncommon,2,Travel booklet that tracks visited destinations.,Stamped in every timezone.,travel_theme_unlock,travel_theme_unlock,global_route_theme,,,false,1,false,true,false,false,400,distance_miles,500,main_shop,planned,walker_passport.png,/assets/items/walker_passport.png,passport booklet,navy cover|gold emblem|travel stamps,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Walker Passport\, a uncommon souvenir item. Depict passport booklet. Include these visual cues: navy cover|gold emblem|travel stamps. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
white_monarch_upgrade,White Monarch Upgrade,white-monarch-upgrade,relic,equipment,epic,4,High tier relic upgrade that boosts step rewards temporarily.,Wings of momentum.,step_reward_bonus_temp,step_reward_bonus_temp,0.25,1800,7200,false,1,false,true,false,true,2400,earth_loops_completed,2,main_shop,planned,white_monarch_upgrade.png,/assets/items/white_monarch_upgrade.png,mechanical butterfly pin,white wings|silver gears|soft glow,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \White Monarch Upgrade\, a epic relic item. Depict mechanical butterfly pin. Include these visual cues: white wings|silver gears|soft glow. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
